"id,""title"",""description"",""top_product_id"",""slug"""
"68,""تیشرت و پیراهن"",""..."",""0"",""تیشرت-و-پیراهن"",""2"",""3"",""52"",""4"",""1"""
"69,""شلوار"",""..."",""0"",""شلوار"",""2"",""7"",""52"",""14"",""1"""
"70,""سویشرت و کاپشن"",""..."",""0"",""سویشرت-و-کاپشن"",""2"",""5"",""52"",""6"",""1"""
"71,""کفش"",""..."",""0"",""کفش"",""2"",""15"",""52"",""22"",""1"""
"72,""ورزشی"",""..."",""0"",""ورزشی"",""3"",""20"",""71"",""21"",""1"""
"73,""رسمی"",""..."",""0"",""رسمی"",""3"",""16"",""71"",""17"",""1"""
"74,""صندل"",""..."",""0"",""صندل"",""3"",""18"",""71"",""19"",""1"""
"75,""شلوار چین"",""..."",""0"",""شلوار-چین"",""3"",""10"",""69"",""11"",""1"""
"76,""شلوار پارچه ای"",""..."",""0"",""شلوار-پارچه-ای"",""3"",""8"",""69"",""9"",""1"""
"77,""شلوارک"",""..."",""0"",""شلوارک"",""3"",""12"",""69"",""13"",""1"""
"78,""شلوار کتان"",""..."",""0"",""شلوار-کتان"",""2"",""25"",""30"",""26"",""8"""
"79,""تاپ"",""..."",""0"",""تاپ"",""2"",""7"",""41"",""8"",""5"""
"80,""پیراهن"",""..."",""0"",""پیراهن"",""2"",""5"",""41"",""6"",""5"""
"81,""هودی"",""..."",""0"",""هودی"",""2"",""15"",""41"",""16"",""5"""
